Date,Transmitter,Receiver,latitude,longitude,station,Arrival,Departure,Detections,residencetime
2016-10-28,A69-1601-52644,VR2W-113521,51.04231,4.0945,s-4,2016-10-28T21:54:00Z,2016-10-28T22:04:00Z,5,600
2016-10-29,A69-1601-52644,VR2W-115438,51.0168,3.92527,s-Wichelen,2016-10-29T05:08:00Z,2016-10-29T05:30:00Z,8,1320
2016-10-29,A69-1601-52644,VR2W-113521,51.04231,4.0945,s-4,2016-10-29T22:48:00Z,2016-10-29T22:56:00Z,4,480
2016-10-29,A69-1601-52644,VR2W-122325,51.0434,4.04783,s-3,2016-10-29T01:26:00Z,2016-10-29T01:37:00Z,7,660
2016-10-29,A69-1601-52644,VR2W-122322,51.02032,3.96965,s-2a,2016-10-29T03:45:00Z,2016-10-29T03:47:00Z,2,120
2016-10-29,A69-1601-52644,VR2W-122325,51.0434,4.04783,s-3,2016-10-29T21:47:00Z,2016-10-29T21:55:00Z,7,480
2016-10-29,A69-1601-52644,VR2W-122322,51.02032,3.96965,s-2a,2016-10-29T18:54:00Z,2016-10-29T19:07:00Z,8,780
2016-10-29,A69-1601-52644,VR2W-113521,51.04231,4.0945,s-4,2016-10-28T23:52:00Z,2016-10-29T00:15:00Z,16,1380
2016-10-30,A69-1601-52644,VR2W-122325,51.0434,4.04783,s-3,2016-10-30T02:17:00Z,2016-10-30T02:32:00Z,9,900
2016-10-30,A69-1601-52644,VR2W-122322,51.02032,3.96965,s-2a,2016-10-30T19:59:00Z,2016-10-30T20:11:00Z,8,720
2016-10-30,A69-1601-52644,VR2W-112292,51.03855,4.1175,s-Dendermonde,2016-10-29T23:25:00Z,2016-10-30T00:16:00Z,33,3060
2016-10-30,A69-1601-52644,VR2W-122322,51.02032,3.96965,s-2a,2016-10-30T04:32:00Z,2016-10-30T04:38:00Z,4,360
2016-10-30,A69-1601-52644,VR2W-113521,51.04231,4.0945,s-4,2016-10-30T00:43:00Z,2016-10-30T01:12:00Z,16,1740
2016-10-30,A69-1601-52644,VR2W-122325,51.0434,4.04783,s-3,2016-10-30T22:47:00Z,2016-10-30T23:05:00Z,10,1080
2016-10-30,A69-1601-52644,VR2W-122322,51.02032,3.96965,s-2a,2016-10-30T18:25:00Z,2016-10-30T18:39:00Z,3,840
2016-10-31,A69-1601-52644,VR2W-122322,51.02032,3.96965,s-2a,2016-10-31T23:19:00Z,2016-10-31T23:31:00Z,8,720
2016-10-31,A69-1601-52644,VR2W-115438,51.0168,3.92527,s-Wichelen,2016-10-31T21:47:00Z,2016-10-31T22:01:00Z,10,840
2016-10-31,A69-1601-52644,VR2W-122322,51.02032,3.96965,s-2a,2016-10-31T04:48:00Z,2016-10-31T04:50:00Z,2,120
2016-10-31,A69-1601-52644,VR2W-112297,51.00164,3.85695,s-Wetteren,2016-10-31T17:21:00Z,2016-10-31T17:26:00Z,5,300
2016-10-31,A69-1601-52644,VR2W-112297,51.00164,3.85695,s-Wetteren,2016-10-31T20:14:00Z,2016-10-31T20:22:00Z,7,480
2016-10-31,A69-1601-52644,VR2W-113521,51.04231,4.0945,s-4,2016-10-31T00:00:00Z,2016-10-31T01:01:00Z,28,3660
2016-10-31,A69-1601-52644,VR2W-122325,51.0434,4.04783,s-3,2016-10-31T02:19:00Z,2016-10-31T02:41:00Z,16,1320
2016-10-31,A69-1601-52644,VR2W-115438,51.0168,3.92527,s-Wichelen,2016-10-31T06:00:00Z,2016-10-31T06:10:00Z,7,600
2016-11-01,A69-1601-52644,VR2W-122325,51.0434,4.04783,s-3,2016-11-01T22:52:00Z,2016-11-01T23:00:00Z,7,480
2016-11-01,A69-1601-52644,VR2W-115438,51.0168,3.92527,s-Wichelen,2016-11-01T05:15:00Z,2016-11-01T05:20:00Z,4,300
2016-11-01,A69-1601-52644,VR2W-122322,51.02032,3.96965,s-2a,2016-11-01T04:06:00Z,2016-11-01T04:07:00Z,2,60
2016-11-01,A69-1601-52644,VR2W-115438,51.0168,3.92527,s-Wichelen,2016-11-01T09:19:00Z,2016-11-01T09:38:00Z,12,1140
2016-11-01,A69-1601-52644,VR2W-122322,51.02032,3.96965,s-2a,2016-11-01T19:52:00Z,2016-11-01T20:10:00Z,9,1080
2016-11-02,A69-1601-52644,VR2W-113521,51.04231,4.0945,s-4,2016-11-02T02:14:00Z,2016-11-02T02:36:00Z,15,1320
2016-11-02,A69-1601-52644,VR2W-122322,51.02032,3.96965,s-2a,2016-11-02T23:06:00Z,2016-11-02T23:14:00Z,4,480
2016-11-02,A69-1601-52644,VR2W-112292,51.03855,4.1175,s-Dendermonde,2016-11-02T00:36:00Z,2016-11-02T01:40:00Z,34,3840
2016-11-02,A69-1601-52644,VR2W-122322,51.02032,3.96965,s-2a,2016-11-02T06:05:00Z,2016-11-02T06:15:00Z,6,600
2016-11-02,A69-1601-52644,VR2W-115438,51.0168,3.92527,s-Wichelen,2016-11-02T18:05:00Z,2016-11-02T18:11:00Z,5,360
2016-11-02,A69-1601-52644,VR2W-122325,51.0434,4.04783,s-3,2016-11-02T03:44:00Z,2016-11-02T03:56:00Z,9,720
2016-11-02,A69-1601-52644,VR2W-115438,51.0168,3.92527,s-Wichelen,2016-11-02T21:29:00Z,2016-11-02T21:41:00Z,10,720
2016-11-02,A69-1601-52644,VR2W-113521,51.04231,4.0945,s-4,2016-11-02T00:00:00Z,2016-11-02T00:08:00Z,4,480
2016-11-02,A69-1601-52644,VR2W-112297,51.00164,3.85695,s-Wetteren,2016-11-02T19:47:00Z,2016-11-02T20:06:00Z,14,1140
2016-11-03,A69-1601-52644,VR2W-115438,51.0168,3.92527,s-Wichelen,2016-11-03T09:04:00Z,2016-11-03T09:50:00Z,13,2760
2016-11-03,A69-1601-52644,VR2W-122322,51.02032,3.96965,s-2a,2016-11-03T11:03:00Z,2016-11-03T11:17:00Z,9,840
2016-11-03,A69-1601-52644,VR2W-115438,51.0168,3.92527,s-Wichelen,2016-11-03T19:27:00Z,2016-11-03T19:47:00Z,14,1200
2016-11-03,A69-1601-52644,VR2W-122322,51.02032,3.96965,s-2a,2016-11-03T18:06:00Z,2016-11-03T18:15:00Z,6,540
2016-11-03,A69-1601-52644,VR2W-122325,51.0434,4.04783,s-3,2016-11-03T14:15:00Z,2016-11-03T14:58:00Z,24,2580
2016-11-03,A69-1601-52644,VR2W-115438,51.0168,3.92527,s-Wichelen,2016-11-03T06:46:00Z,2016-11-03T06:57:00Z,9,660
2016-11-03,A69-1601-52644,VR2W-122325,51.0434,4.04783,s-3,2016-11-03T01:43:00Z,2016-11-03T02:34:00Z,38,3060
2016-11-03,A69-1601-52644,VR2W-115438,51.0168,3.92527,s-Wichelen,2016-11-03T20:52:00Z,2016-11-03T21:11:00Z,12,1140
2016-11-03,A69-1601-52644,VR2W-122322,51.02032,3.96965,s-2a,2016-11-03T22:35:00Z,2016-11-03T22:53:00Z,12,1080
2016-11-03,A69-1601-52644,VR2W-122322,51.02032,3.96965,s-2a,2016-11-03T05:33:00Z,2016-11-03T05:37:00Z,3,240
2016-11-04,A69-1601-52644,VR2W-122325,51.0434,4.04783,s-3,2016-11-04T03:20:00Z,2016-11-04T03:57:00Z,26,2220
2016-11-04,A69-1601-52644,VR2W-122322,51.02032,3.96965,s-2a,2016-11-04T20:59:00Z,2016-11-04T21:20:00Z,15,1260
2016-11-04,A69-1601-52644,VR2W-122322,51.02032,3.96965,s-2a,2016-11-04T06:28:00Z,2016-11-04T06:36:00Z,7,480
2016-11-04,A69-1601-52644,VR2W-122325,51.0434,4.04783,s-3,2016-11-04T01:40:00Z,2016-11-04T01:59:00Z,12,1140
2016-11-05,A69-1601-52644,VR2W-122325,51.0434,4.04783,s-3,2016-11-05T05:25:00Z,2016-11-05T05:37:00Z,7,720
2016-11-05,A69-1601-52644,VR2W-112292,51.03855,4.1175,s-Dendermonde,2016-11-05T01:58:00Z,2016-11-05T03:30:00Z,29,5520
2016-11-05,A69-1601-52644,VR2W-112297,51.00164,3.85695,s-Wetteren,2016-11-05T19:49:00Z,2016-11-05T19:53:00Z,4,240
2016-11-05,A69-1601-52644,VR2W-122325,51.0434,4.04783,s-3,2016-11-05T00:02:00Z,2016-11-05T00:18:00Z,10,960
2016-11-05,A69-1601-52644,VR2W-115438,51.0168,3.92527,s-Wichelen,2016-11-05T18:19:00Z,2016-11-05T18:29:00Z,8,600
2016-11-05,A69-1601-52644,VR2W-112297,51.00164,3.85695,s-Wetteren,2016-11-05T23:27:00Z,2016-11-05T23:36:00Z,7,540
2016-11-05,A69-1601-52644,VR2W-122322,51.02032,3.96965,s-2a,2016-11-05T07:55:00Z,2016-11-05T08:05:00Z,7,600
2016-11-05,A69-1601-52644,VR2W-113521,51.04231,4.0945,s-4,2016-11-05T04:00:00Z,2016-11-05T04:24:00Z,13,1440
2016-11-05,A69-1601-52644,VR2W-113521,51.04231,4.0945,s-4,2016-11-05T01:14:00Z,2016-11-05T01:23:00Z,5,540
2016-11-06,A69-1601-52644,VR2W-115438,51.0168,3.92527,s-Wichelen,2016-11-06T13:13:00Z,2016-11-06T13:31:00Z,11,1080
2016-11-06,A69-1601-52644,VR2W-112297,51.00164,3.85695,s-Wetteren,2016-11-06T11:18:00Z,2016-11-06T11:26:00Z,6,480
2016-11-06,A69-1601-52644,VR2W-122322,51.02032,3.96965,s-2a,2016-11-06T17:53:00Z,2016-11-06T18:08:00Z,9,900
2016-11-06,A69-1601-52644,VR2W-122322,51.02032,3.96965,s-2a,2016-11-06T02:50:00Z,2016-11-06T03:03:00Z,7,780
2016-11-06,A69-1601-52644,VR2W-112297,51.00164,3.85695,s-Wetteren,2016-11-06T21:13:00Z,2016-11-06T22:36:00Z,22,4980
2016-11-06,A69-1601-52644,VR2W-115438,51.0168,3.92527,s-Wichelen,2016-11-06T19:35:00Z,2016-11-06T19:45:00Z,8,600
2016-11-06,A69-1601-52644,VR2W-122322,51.02032,3.96965,s-2a,2016-11-06T04:14:00Z,2016-11-06T04:38:00Z,16,1440
2016-11-06,A69-1601-52644,VR2W-115438,51.0168,3.92527,s-Wichelen,2016-11-06T01:13:00Z,2016-11-06T01:26:00Z,9,780
